sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKFoodType,HKExternalUUID
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 10:49:21 +0000,2023-09-14 10:49:21 +0000,kcal,183.0,"Langkornreis, gekocht",7530828c-3146-42f7-8732-2ac4d882bcaa
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 10:49:26 +0000,2023-09-14 10:49:26 +0000,kcal,83.0,"Bulgur, gekocht",d16057e7-fd73-48cf-9a7e-7bbca36de4d6
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 10:49:36 +0000,2023-09-14 10:49:36 +0000,kcal,247.51999999999998,Olivenöl,c894c66d-8c04-43dd-9653-9e0fed8d7ad0
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 20:43:12 +0000,2023-09-14 20:43:12 +0000,kcal,274.0,Kalbsteaks aus der Hüfte,b43ab595-3ada-4aed-88bb-f60745747fcb
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 20:43:18 +0000,2023-09-14 20:43:18 +0000,kcal,97.2,Gebratenes Gemüse,dfb7d62c-0160-4283-a7f4-af3f4431a202
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 20:43:23 +0000,2023-09-14 20:43:23 +0000,kcal,80.0,Beilagensalat,464a619a-eb52-4447-b195-2da7d1f3ae52
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 20:43:30 +0000,2023-09-14 20:43:30 +0000,kcal,70.72,Olivenöl,c3459cf2-251c-4500-b565-adf5f0a104ae
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 20:43:50 +0000,2023-09-14 20:43:50 +0000,kcal,288.75,Creme Brulee,c8c53470-cf3f-4ad0-a95d-3fc8f05b71ad
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 20:43:57 +0000,2023-09-14 20:43:57 +0000,kcal,131.25,Vanille Eis (Vanilleeis),253da9ae-0e55-472e-8d88-cec7e60f6658
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 08:36:17 +0000,2023-09-15 08:36:17 +0000,kcal,88.80000000000001,Schokokekse,31ec6019-bae0-4013-a761-3972554ea636
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 08:37:27 +0000,2023-09-15 08:37:27 +0000,kcal,118.80000000000001,Magerquark,6e9d8994-f109-465d-98f7-f86707c47908
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 08:37:34 +0000,2023-09-15 08:37:34 +0000,kcal,59.0,Joghurt 10% Fett,dfa8a800-ac4f-4216-91b8-7cc1b475517c
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 08:37:41 +0000,2023-09-15 08:37:41 +0000,kcal,69.6,Vollkornmüsli,2897e160-9ce1-4834-8441-fc91443f5b94
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 08:37:52 +0000,2023-09-15 08:37:52 +0000,kcal,241.50000000000003,Rührei,8c401196-9238-4347-bae8-5d8fa816bbed
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 08:38:10 +0000,2023-09-15 08:38:10 +0000,kcal,52.0,"Kuhmilch (Vollmilch) 3,5% Fett",dee639ad-2fe7-4efe-a998-56f9c6501591
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 08:38:21 +0000,2023-09-15 08:38:21 +0000,kcal,29.84,Haferflocken,fce385a3-016a-4a2c-9044-128187e64d69
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 08:40:33 +0000,2023-09-15 08:40:33 +0000,kcal,119.24,Hanuta,3598f456-edb6-4fc1-b47a-6ae4903fb81d
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 10:35:47 +0000,2023-09-15 10:35:47 +0000,kcal,110.39999999999999,"Avocado, frisch",8936cb4c-a886-4273-83d6-afe71e0494fb
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 10:36:06 +0000,2023-09-15 10:36:06 +0000,kcal,70.08,Hummus,0932cb2c-2da9-4f37-a419-ef0bb8a11e8d
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 10:36:16 +0000,2023-09-15 10:36:16 +0000,kcal,184.5,Quinoa,76a3947d-ad9d-4be6-ad0f-ca6c1048201d
