sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKExternalUUID
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"Watch4,2",,2023-09-25 04:54:01 +0000,2023-09-25 04:54:01 +0000,kg,93.05000305175781,06683b2f-28cf-4f07-acd2-27166ee523ad
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"Watch4,2",,2023-09-25 04:54:01 +0000,2023-09-25 04:54:01 +0000,kg,93.05000305175781,6c0ce174-2bb5-46c9-baf6-cdebf8b3184a
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"Watch4,2",,2023-09-25 04:54:01 +0000,2023-09-25 04:54:01 +0000,kg,93.05000305175781,7df235c6-ef69-4e16-a48f-5ca97c593e77
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"Watch4,2",,2023-09-25 04:54:01 +0000,2023-09-25 04:54:01 +0000,kg,93.05000305175781,e0baef40-efd2-42de-bb0a-13d08fef6e08
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"Watch4,2",,2023-09-25 04:54:01 +0000,2023-09-25 04:54:01 +0000,kg,93.05000305175781,fa1a1a29-f71d-4218-9a35-492d2456f223
HKQuantityTypeIdentifierBodyMass,Renpho,1,"iPhone14,3",,2023-09-28 05:21:04 +0000,2023-09-28 05:21:04 +0000,kg,93.9000015258789,
HKQuantityTypeIdentifierBodyMass,YAZIO,1657,"iPhone14,3",,2023-09-28 05:21:04 +0000,2023-09-28 05:21:04 +0000,kg,93.9000015258789,76dd184d-b671-4e71-96b3-d459be3f3be3
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-28 05:21:04 +0000,2023-09-28 05:21:04 +0000,kg,93.9000015258789,520d7caf-332f-48bf-b5a5-12a8ffe2cb5a
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-28 05:21:04 +0000,2023-09-28 05:21:04 +0000,kg,93.9000015258789,a5185f09-8a97-4da0-9aa4-e58d216be997
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-28 05:21:04 +0000,2023-09-28 05:21:04 +0000,kg,93.9000015258789,3ab0acab-55f4-4c7a-b718-ef076d5717f3
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-28 05:21:04 +0000,2023-09-28 05:21:04 +0000,kg,93.9000015258789,aeb5695e-2655-49a9-bab3-f7e775234f11
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-28 05:21:04 +0000,2023-09-28 05:21:04 +0000,kg,93.9000015258789,7cb12f95-83e9-4ff0-880b-c7c4352a40df
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-28 05:21:04 +0000,2023-09-28 05:21:04 +0000,kg,93.9000015258789,61a94d8b-370b-4d4d-aeb9-548477578a40
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-28 05:21:04 +0000,2023-09-28 05:21:04 +0000,kg,93.9000015258789,983e78fc-f49f-4c8d-a4a2-0a99201a8adc
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-28 05:21:04 +0000,2023-09-28 05:21:04 +0000,kg,93.9000015258789,7fac083c-a23a-4aad-92e7-628117ca281e
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-28 05:21:04 +0000,2023-09-28 05:21:04 +0000,kg,93.9000015258789,10a10242-df36-4f2c-9aa2-c2a71aaab2fa
